,publication,feed,is_uni_newspaper
149,theaspentimes,https://www.aspentimes.com/rss,0
150,aurorasentinel,https://www.sentinelcolorado.com/rss,0
151,boulderweekly,https://www.boulderweekly.com/rss,0
152,broomfieldenterprise,https://www.broomfieldenterprise.com/rss,0
153,craigdailypress,https://www.craigdailypress.com/rss,0
154,thedailycamera,https://www.dailycamera.com/rss,0
155,dailyrecord,https://www.canoncitydailyrecord.com/rss,0
156,thedenverpost,https://www.denverpost.com/rss,0
157,estesparktrailgazette,https://www.eptrail.com/rss,0
158,fortmorgantimes,https://www.fortmorgantimes.com/rss,0
159,greeleytribune,https://www.greeleytribune.com/rss,0
160,haxtunflemingherald,http://www.hfherald.com/rss,0
161,thelamardailynews,https://www.lamarledger.com/rss,0
162,northfortynews,https://northfortynews.com/rss,0
163,thepagosaspringssun,http://www.pagosasun.com/rss,0
164,steamboatpilot,https://www.steamboatpilot.com/rss,0
165,summitdailynews,https://www.summitdaily.com/rss,0
166,waterburyrepublicanamerican,https://www.rep-am.com/rss,0
167,bocabeacon,https://bocabeacon.com/rss,0
168,keywestcitizen,https://keysnews.com/rss,0
169,lakecityreporter,https://www.lakecityreporter.com/rss.xml,0
170,madisoncountycarrier,http://www.greenepublishing.com/rss,0
171,miami’scommunitynewspapers,https://communitynewspapers.com/rss,0
172,miamitoday,https://www.miamitodaynews.com/rss,0
173,newsleader,https://www.fbnewsleader.com/rss.xml,0
174,palatkadailynews,https://www.palatkadailynews.com/rss.xml,0
175,thetowncrier,https://gotowncrier.com/rss,0
176,atlantadailyworld,http://atlantadailyworld.com/rss,0
177,claytontribune,https://www.theclaytontribune.com/rss.xml,0
178,thecoastalcourier,https://coastalcourier.com/rss,0
179,dawsonadvertiser,https://www.dawsonnews.com/rss,0
180,lagrangedailynews,http://www.lagrangenews.com/rss,0
181,postsearchlight,https://www.thepostsearchlight.com/rss,0
182,thestatesboroherald,https://www.statesboroherald.com/rss,0
183,thetimescourier,https://www.timescourier.com/rss.xml,0
184,tribune,https://www.tribune-georgian.com/rss.xml,0
185,westhawaiitoday,https://www.westhawaiitoday.com/rss,0
186,chicagosuntimes,https://chicago.suntimes.com/feed,0
187,dailyherald,https://www.dailyherald.com/rss,0
188,dailyreviewatlas,https://www.reviewatlas.com/rss,0
189,journalstar,https://www.pjstar.com/rss,0
190,thejournalstandard,https://www.journalstandard.com/rss,0
191,laraza,http://www.laraza.com/rss,0
192,newsprogress,http://newsprogress.com/rss,0
193,pekindailytimes,https://www.pekintimes.com/rss,0
194,rockfordregisterstar,https://www.rrstar.com/rss,0
195,thestatejournalregister,https://www.sj-r.com/rss,0
196,therepublic,http://www.therepublic.com/rss,0
197,clearlakemirrorreporter,http://www.clreporter.com/rss,0
198,harlanonline,http://www.harlanonline.com/rss.xml,0
199,marshalltowntimesrepublican,http://www.timesrepublican.com/rss,0
200,rivercitiesreader,https://www.rcreader.com/rss.xml,0
201,greatbendtribune,https://www.gbtribune.com/rss,0
202,hillsborofreepress,http://www.hillsborofreepress.com/rss,0
203,themorningsun,https://www.morningsun.net/rss,0
204,theadvocatemessenger,https://www.amnews.com/rss,0
205,thehancockclarion,https://www.hancockclarion.com/rss,0
206,harrodsburgherald,https://www.harrodsburgherald.com/rss,0
207,theledgerindependent,https://maysville-online.com/rss,0
208,lewiscountyherald,http://www.lewiscountyherald.com/rss,0
209,thewinchestersun,https://www.winchestersun.com/rss,0
210,bossierpresstribune,https://bossierpress.com/rss,0
211,businessreport,https://www.businessreport.com/rss,0
212,citybusiness,https://neworleanscitybusiness.com/rss,0
213,thecrowleypostsignal,http://www.crowleypostsignal.com/rss.xml,0
214,thedailyreview,https://www.daily-review.com/rss.xml,0
215,thefranklinbannertribune,https://www.banner-tribune.com/rss.xml,0
216,l’observateur,https://www.lobservateur.com/rss,0
217,mindenpressherald,https://press-herald.com/rss,0
218,advertiserdemocrat,https://www.sunjournal.com/advertiser-democrat/rss,0
219,theellsworthamerican,https://www.ellsworthamerican.com/rss,0
220,thekennebecjournal,https://www.centralmaine.com/rss,0
221,sunjournal,https://www.sunjournal.com/rss,0
222,thetimesrecord,https://www.timesrecord.com/rss,0
223,thearlingtonadvocate,https://arlington.wickedlocal.com/rss,0
224,thebelmontcitizenherald,https://belmont.wickedlocal.com/rss,0
225,beverlycitizen,https://beverly.wickedlocal.com/rss,0
226,bostonherald,https://www.bostonherald.com/rss,0
227,brooklinetab,https://brookline.wickedlocal.com/rss,0
228,cambridgechronicle,https://cambridge.wickedlocal.com/rss,0
229,communityadvocate,https://www.communityadvocate.com/rss,0
230,concordjournal,https://concord.wickedlocal.com/rss,0
231,dorchesterreporter,https://www.dotnews.com/rss.xml,0
232,duxburyclipper,https://www.duxburyclipper.com/rss,0
233,everettindependent,http://everettindependent.com/rss,0
234,hamiltonwenhamchronicle,https://hamilton.wickedlocal.com/rss,0
235,theheraldnews,https://www.heraldnews.com/rss,0
236,ipswichchronicle,https://ipswich.wickedlocal.com/rss,0
237,thejewishadvocate,https://www.thejewishadvocate.com/rss,0
238,lexingtonminuteman,https://lexington.wickedlocal.com/rss,0
239,thelowellsun,http://www.lowellsun.com/rss,0
240,maldenobserver,https://malden.wickedlocal.com/rss,0
241,marbleheadreporter,https://marblehead.wickedlocal.com/rss,0
242,martha’svineyardtimes,https://www.mvtimes.com/rss,0
243,massachusettsnews,https://www.massnews.com/rss,0
244,melrosefreepress,https://melrose.wickedlocal.com/rss,0
245,northandovercitizen,https://northandover.wickedlocal.com/rss,0
246,saugusadvertiser,https://saugus.wickedlocal.com/rss,0
247,sudburytowncrier,https://sudbury.wickedlocal.com/rss,0
248,swampscottreporter,https://swampscott.wickedlocal.com/rss,0
249,tauntondailygazette,https://www.tauntongazette.com/rss,0
250,thevineyardgazette,https://vineyardgazette.com/rss,0
251,walpoletimes,https://walpole.wickedlocal.com/rss,0
252,thewanderer,https://www.wanderer.com/rss,0
253,watertowntab&amp;press,https://watertown.wickedlocal.com/rss,0
254,waylandtowncrier&amp;tab,https://wayland.wickedlocal.com/rss,0
255,thewellesleytownsman,https://wellesley.wickedlocal.com/rss,0
256,grossepointenews,https://www.grossepointenews.com/rss,0
257,theleelanauenterprise,https://www.leelanaunews.com/rss,0
258,albertleatribune,https://www.albertleatribune.com/rss,0
259,austindailyherald,https://www.austindailyherald.com/rss,0
260,thebrainerddailydispatch,https://www.brainerddispatch.com/rss,0
261,dailyglobe,https://www.dglobe.com/rss,0
262,detroitlakestribune,https://www.dl-online.com/rss,0
263,duluthnewstribune,https://www.duluthnewstribune.com/rss,0
264,echopress,https://www.echopress.com/rss,0
265,financeandcommerce,https://finance-commerce.com/rss,0
266,headlightherald,https://headlightherald.com/rss,0
267,jacksoncountypilot,https://www.jacksoncountypilot.com/rss,0
268,pineriverjournal,https://www.pineandlakes.com/rss,0
269,republicaneagle,https://www.republican-eagle.com/rss,0
270,rockcountystarherald,http://www.star-herald.com/rss.xml,0
271,saintpaulpioneerpress,https://www.twincities.com/rss,0
272,thestar,https://www.pipestonestar.com/rss,0
273,startribune,http://www.startribune.com/rss,0
274,stargazette,https://www.hastingsstargazette.com/rss,0
275,thiefriverfallstimes,https://trftimes.com/rss,0
276,wadenapioneerjournal,https://www.wadenapj.com/rss,0
277,westcentraltribune,https://www.wctrib.com/rss,0
278,dailyleader,https://www.dailyleader.com/rss,0
279,mississippibusinessjournal,https://msbusiness.com/rss,0
280,thenatchezdemocrat,https://www.natchezdemocrat.com/rss,0
281,picayuneitem,http://www.picayuneitem.com/rss,0
282,vicksburgpost,https://www.vicksburgpost.com/rss,0
283,winstoncountyjournal,http://www.winstoncountyjournal.com/rss.xml,0
284,boonvilledailynews,https://www.boonvilledailynews.com/rss,0
285,constitutiontribune,https://www.chillicothenews.com/rss,0
286,kirksvilledailyexpress&amp;news,https://www.kirksvilledailyexpress.com/rss,0
287,moberlymonitorindex,https://www.moberlymonitor.com/rss,0
288,neoshodailynews,https://www.neoshodailynews.com/rss,0
289,republicanclipper,https://www.bethanyclipper.com/rss,0
290,thebitterrootstar,https://bitterrootstar.com/rss,0
291,thehavredailynews,https://www.havredailynews.com/rss,0
292,seeleyswanpathfinder,https://www.seeleylake.com/rss,0
293,omahareader,https://thereader.com/rss,0
294,lasvegasreviewjournal,http://www.lvrj.com/rss,0
295,nevadaappeal,https://www.nevadaappeal.com/rss,0
296,nevadabusinessjournal,https://www.nevadabusiness.com/rss,0
297,newhampshiregazette,http://www.nhgazette.com/rss,0
298,businessnewsnj,https://njbiz.com/rss,0
299,albuquerquejournal,https://www.abqjournal.com/rss,0
300,hobbsnewssun,https://www.hobbsnews.com/rss,0
301,thedailygazette,https://dailygazette.com/rss,0
302,easthamptonstar,http://www.easthamptonstar.com/rss.xml,0
303,theeveningtribune,https://www.eveningtribune.com/rss,0
304,gardencitynews,https://www.gcnews.com/rss,0
305,theleader,https://www.the-leader.com/rss,0
306,longislandbusinessnews,https://libn.com/rss,0
307,newyorkobserver,http://www.observer.com/rss,0
308,putnamnewsandrecorder,https://www.pcnr.com/rss,0
309,thequeensgazette,https://www.qgazette.com/rss,0
310,rochesterbusinessjournal,https://rbj.net/rss,0
311,sagharborexpress,https://sagharborexpress.com/rss,0
312,southampton,http://www.pressnewsgroup.com/rss,0
313,thesuffolktimes,https://suffolktimes.timesreview.com/rss,0
314,thewaveoflongisland,https://www.rockawave.com/rss,0
315,wellsvilledailyreporter,https://www.wellsvilledaily.com/rss,0
316,chathamjournal,http://chathamjournal.com/rss,0
317,thelaurinburgexchange,https://www.laurinburgexchange.com/rss,0
318,mitchellnewsjournal,https://www.mitchellnews.com/rss.xml,0
319,mountairynews,https://www.mtairynews.com/rss,0
320,mountainxpress,https://mountainx.com/rss,0
321,rhinotimes,http://www.rhinotimes.com/rss,0
322,therobesonian,https://www.robesonian.com/rss,0
323,salisburypost,https://www.salisburypost.com/rss,0
324,thesampsonindependent,https://www.clintonnc.com/rss,0
325,thetaylorsvilletimes,https://www.taylorsvilletimes.com/rss,0
326,devilslakedailyjournal,https://www.devilslakejournal.com/rss,0
327,theforum,https://www.inforum.com/rss,0
328,grandforksherald,https://www.grandforksherald.com/rss,0
329,thejamestownsun,https://www.jamestownsun.com/rss,0
330,columbusdispatch,https://www.dispatch.com/rss,0
331,thedelawaregazette,https://www.delgazette.com/rss,0
332,theeatonregisterherald,https://www.registerherald.com/rss,0
333,georgetownnewsdemocrat,https://www.newsdemocrat.com/rss,0
334,theirontontribune,https://www.irontontribune.com/rss,0
335,leaderonline,http://www.akron.com/rss,0
336,marysvillejournaltribune,https://www.marysvillejt.com/feed,0
337,recordherald,https://www.recordherald.com/rss,0
338,repository,https://www.cantonrep.com/rss,0
339,thesidneydailynews,https://www.sidneydailynews.com/rss,0
340,thisweek,https://www.thisweeknews.com/rss,0
341,thetimesgazette,https://www.timesgazette.com/rss,0
342,thetimesreporter,https://www.timesreporter.com/rss,0
343,thetribunechronicle,http://www.tribtoday.com/rss,0
344,urbanadailycitizen,https://www.urbanacitizen.com/rss,0
345,wilmingtonnewsjournal,https://www.wnewsj.com/rss,0
346,yellowspringsnews,https://ysnews.com/rss,0
347,thejournalrecord,https://journalrecord.com/rss,0
348,theponcacitynews,https://www.poncacitynews.com/rss.xml,0
349,cascadebusinessnews,http://cascadebusnews.com/rss,0
350,keizertimes,https://www.keizertimes.com/feed,0
351,dailycourier,https://www.dailycourier.com/rss,0
352,thefultoncountynews,https://www.fultoncountynews.com/rss,0
353,leadertimes,https://www.leadertimes.com/rss,0
354,philadelphiaweekly,http://www.philadelphiaweekly.com/rss,0
355,pittsburghtribunereview,https://triblive.com/category/local/rss,0
356,rocketcourier,https://www.rocket-courier.com/rss,0
357,newportthisweek,https://www.newportthisweek.com/rss,0
358,providencebusinessnews,https://pbn.com/rss,0
359,chronicleindependent,https://www.chronicle-independent.com/rss,0
360,columbiastar,https://www.thecolumbiastar.com/rss,0
361,thegaffneyledger,https://www.gaffneyledger.com/rss,0
362,uniondailytimes,https://www.uniondailytimes.com/rss,0
363,themitchelldailyrepublic,https://www.mitchellrepublic.com/rss,0
364,freemancourier,https://www.freemansd.com/rss.xml,0
365,themobridgetribune,https://www.mobridgetribune.com/rss,0
366,rapidcityjournal,https://rapidcityjournal.com/rss,0
367,smithvillereview,https://www.smithvillereview.com/rss,0
368,southernstandard,https://www.southernstandard.com/rss,0
369,thetomahawk,https://www.thetomahawk.com/rss,0
