,publication,is_uni_newspaper,url,article_title,date,author,is_student
138,richmondconfidential,1,https://richmondconfidential.org/2024/06/21/richmond-bart-service-interruptions-red-orange-lines/,BART riders take note: Richmond line interruptions start this weekend,2024-06-22,,
139,richmondconfidential,1,https://richmondconfidential.org/2024/06/20/richmond-double-dutch-and-black-culture-juneteenth-party/,Double-Dutch and Black culture: the pairing takes center stage at Richmond Juneteenth party,2024-06-20,,
140,crosstown,0,https://xtown.la/2024/07/30/los-angeles-traffic-deaths-stay-high-in-first-half-of-2024/,No slowdown in traffic deaths in Los Angeles in 2024,2024-07-30,,
141,crosstown,0,https://xtown.la/2024/07/24/housing-supply-los-angeles/,Building slowdown could further tighten housing market,2024-07-24,,
142,crosstown,0,https://xtown.la/2024/07/22/covid-19-makes-a-summer-comeback-in-los-angeles/,COVID makes a summer comeback in Los Angeles,2024-07-22,,
143,crosstown,0,https://xtown.la/2024/07/16/how-murders-in-los-angeles-compare-with-the-rest-of-california/,How murders in Los Angeles compare with the rest of California,2024-07-16,,
144,crosstown,0,https://xtown.la/2024/07/11/burglaries-up-4-in-los-angeles-in-first-half-of-2024/,Burglaries up slightly in Los Angeles in first half of 2024,2024-07-11,,
145,crosstown,0,https://xtown.la/2024/07/08/street-cleaning-is-the-most-common-parking-ticket-in-los-angeles/,To live and park in L.A.: the street cleaning challenge,2024-07-08,,
146,crosstown,0,https://xtown.la/2024/07/01/as-july-4-approaches-illegal-fireworks-calls-skyrocket-in-los-angeles/,"As July 4 approaches, fireworks calls skyrocket",2024-07-01,,
147,crosstown,0,https://xtown.la/2024/06/28/los-angeless-homelessness-crisis-visualized/,Los Angeles’s homelessness crisis visualized,2024-06-28,,
148,crosstown,0,https://xtown.la/2024/06/26/number-of-parking-tickets-issued-in-los-angeles-climbs-slightly-this-year/,Number of parking tickets issued in Los Angeles climbs slightly this year,2024-06-26,,
149,crosstown,0,https://xtown.la/2024/06/25/more-street-racing-and-sideshows-in-los-angeles-but-few-effective-laws/,"More street racing in Los Angeles, but few effective laws",2024-06-25,,
150,metmedia,0,https://www.mymetmedia.com/we-are-making-progress-mike-johnston-reflects-on-his-first-year-as-denver-mayor/,‘We are making progress:’ Mike Johnston reflects on his first year as Denver Mayor,2024-07-30,,
151,metmedia,0,https://www.mymetmedia.com/denvers-mustang-gateway-to-the-west/,Denver’s Mustang: Gateway to the West,2024-07-11,,
152,metmedia,0,https://www.mymetmedia.com/goodbye-from-a-longtime-editor/,Goodbye from a longtime editor,2024-06-26,,
