publication,feed,is_uni_newspaper
marbleheadreporter,marblehead.wickedlocal.com,0
martha’svineyardtimes,www.mvtimes.com,0
massachusettsnews,www.massnews.com,0
melrosefreepress,melrose.wickedlocal.com,0
northandovercitizen,northandover.wickedlocal.com,0
saugusadvertiser,saugus.wickedlocal.com,0
sudburytowncrier,sudbury.wickedlocal.com,0
swampscottreporter,swampscott.wickedlocal.com,0
tauntondailygazette,www.tauntongazette.com,0
thevineyardgazette,vineyardgazette.com,0
walpoletimes,walpole.wickedlocal.com,0
thewanderer,www.wanderer.com,0
watertowntab&amp;press,watertown.wickedlocal.com,0
waylandtowncrier&amp;tab,wayland.wickedlocal.com,0
thewellesleytownsman,wellesley.wickedlocal.com,0
grossepointenews,www.grossepointenews.com,0
theleelanauenterprise,www.leelanaunews.com,0
albertleatribune,www.albertleatribune.com,0
austindailyherald,www.austindailyherald.com,0
thebrainerddailydispatch,www.brainerddispatch.com,0
dailyglobe,www.dglobe.com,0
detroitlakestribune,www.dl-online.com,0
duluthnewstribune,www.duluthnewstribune.com,0
echopress,www.echopress.com,0
financeandcommerce,finance-commerce.com,0
headlightherald,headlightherald.com,0
jacksoncountypilot,www.jacksoncountypilot.com,0
pineriverjournal,www.pineandlakes.com,0
republicaneagle,www.republican-eagle.com,0
rockcountystarherald,www.star-herald.com,0
saintpaulpioneerpress,www.twincities.com,0
thestar,www.pipestonestar.com,0
startribune,www.startribune.com,0
stargazette,www.hastingsstargazette.com,0
thiefriverfallstimes,trftimes.com,0
wadenapioneerjournal,www.wadenapj.com,0
westcentraltribune,www.wctrib.com,0
dailyleader,www.dailyleader.com,0
mississippibusinessjournal,msbusiness.com,0
thenatchezdemocrat,www.natchezdemocrat.com,0
picayuneitem,www.picayuneitem.com,0
vicksburgpost,www.vicksburgpost.com,0
winstoncountyjournal,www.winstoncountyjournal.com,0
boonvilledailynews,www.boonvilledailynews.com,0
constitutiontribune,www.chillicothenews.com,0
kirksvilledailyexpress&amp;news,www.kirksvilledailyexpress.com,0
moberlymonitorindex,www.moberlymonitor.com,0
neoshodailynews,www.neoshodailynews.com,0
republicanclipper,www.bethanyclipper.com,0
thebitterrootstar,bitterrootstar.com,0
thehavredailynews,www.havredailynews.com,0
seeleyswanpathfinder,www.seeleylake.com,0
omahareader,thereader.com,0
lasvegasreviewjournal,www.lvrj.com,0
nevadaappeal,www.nevadaappeal.com,0
nevadabusinessjournal,www.nevadabusiness.com,0
newhampshiregazette,www.nhgazette.com,0
businessnewsnj,njbiz.com,0
albuquerquejournal,www.abqjournal.com,0
hobbsnewssun,www.hobbsnews.com,0
thedailygazette,dailygazette.com,0
easthamptonstar,www.easthamptonstar.com,0
theeveningtribune,www.eveningtribune.com,0
gardencitynews,www.gcnews.com,0
theleader,www.the-leader.com,0
longislandbusinessnews,libn.com,0
newyorkobserver,www.observer.com,0
putnamnewsandrecorder,www.pcnr.com,0
thequeensgazette,www.qgazette.com,0
rochesterbusinessjournal,rbj.net,0
sagharborexpress,sagharborexpress.com,0
