,publication,url,article_title,date,is_uni_newspaper
437,lsucoldcaseproject,https://lsucoldcaseproject.com/50-years-after-fatal-shooting-milton-scotts-family-fbi-agents-talk-about-the-emotional-toll/,"50 years after fatal shooting: Milton Scott’s family, FBI agents talk about the emotional toll",2023-07-21,0
438,lsucoldcaseproject,https://lsucoldcaseproject.com/the-fatal-shooting-of-milton-x-scott/,The fatal shooting of Milton X Scott,2023-07-16,0
439,lsucoldcaseproject,https://lsucoldcaseproject.com/lsu-cold-case-project-student-reporter-wins-first-place-in-feature-writing-for-large-universities-for-story-a-klansmans-sons-seek-to-understand-and-redress-his-wrongs/,LSU Cold Case Project student reporter wins first place in feature writing for large universities for story: “A Klansman’s sons seek to understand and redress his wrongs”,2023-06-07,0
440,lsucoldcaseproject,https://lsucoldcaseproject.com/students-from-lsus-manship-school-of-mass-communication-and-the-southern-university-law-center-won-a-national-investigative-reporting-prize/,Students from LSU’s Manship School of Mass Communication and the Southern University Law Center won a national investigative reporting prize,2023-04-10,0
441,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/edwards-says-he-expects-to-veto-three-transgender-bills/,Edwards says he expects to veto three transgender bills,2023-06-15,0
442,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/la-lawmakers-pass-state-budget-with-temporary-pay-bump-for-teachers/,La. lawmakers pass state budget with temporary pay bump for teachers,2023-06-15,0
443,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/bill-limiting-minors-access-to-sexually-explicit-materials-in-public-libraries-passes/,Bill limiting minors’ access to sexually explicit materials in public libraries passes,2023-06-15,0
444,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/la-house-votes-to-raise-spending-limit/,La. House votes to raise spending limit,2023-06-15,0
445,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/louisianas-permitless-concealed-carry-proposal-dies-in-senate/,Louisiana’s permitless concealed carry proposal dies in Senate,2023-06-15,0
446,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/new-data-show-louisiana-losing-college-grads-to-texas-other-states/,"New data show Louisiana losing college grads to Texas, other states",2023-06-15,0
447,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/dont-say-gay-bill-pronoun-ban-and-gender-affirming-care-limits-pass-senate/,"“Don’t Say Gay” bill, pronoun ban and gender-affirming care limits pass Senate",2023-06-15,0
448,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/la-house-committee-approves-raising-expenditure-cap/,La. House committee approves raising expenditure cap,2023-06-15,0
449,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/a-second-senate-committee-advanced-a-bill-friday-that-would-ban-gender-affirming-care-for-minors/,A second Senate committee advanced a bill Friday that would ban gender-affirming care for minors,2023-06-15,0
450,manshipschoolstatehouseburean,https://manshipxgr.org/2023/06/15/lsu-to-fold-on-its-controversial-sports-betting-deal-with-caesars/,LSU to fold on its controversial sports-betting deal with Caesar’s,2023-06-15,0
451,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17540/news/ul-system-board-of-supervisors-officially-names-james-genovese-as-nsu-president/,UL System Board of Supervisors officially names James Genovese as NSU president,2024-07-19,1
452,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17537/news/presidential-search-committee-announces-james-genovese-as-finalist-for-nsu-presidency/,Presidential Search Committee announces James Genovese as finalist for NSU presidency,2024-07-17,1
453,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17533/news/nsu-presidential-semifinalists-will-visit-campus-next-week-a-breakdown-of-the-candidates/,NSU presidential semifinalists will visit campus next week: a breakdown of the candidates,2024-07-13,1
