,publication,is_uni_newspaper,url,article_title,date,author,is_student
44,zumedia,0,https://zunews.com/2024/04/taylor-swifts-the-tortured-poets-department-is-nothing-like-we-expected/,Taylor Swift’s “The Tortured Poets Department” is nothing like we expected,2024-04-25,,
45,zumedia,0,https://zunews.com/2024/04/the-scary-reality-of-nickelodeon/,The Scary Reality of Nickelodeon,2024-04-24,,
46,zumedia,0,https://zunews.com/2024/04/the-cold-weather-and-rain-continue-to-hit-azusa/,The cold weather and rain continue to hit Azusa,2024-04-22,,
47,zumedia,0,https://zunews.com/2024/04/scottie-scheffler-dominates-the-2024-masters-tournament/,Scottie Scheffler Dominates the 2024 Masters Tournament,2024-04-21,,
48,zumedia,0,https://zunews.com/2024/04/summertime-shenanigans/,Summertime Shenanigans,2024-04-18,,
49,zumedia,0,https://zunews.com/2024/04/movies-that-need-a-sequel/,Movies that need a sequel,2024-04-18,Katherine Weber,0
50,thepoint,1,https://thepointmagazine.org/4471/stories/cultural-roots-through-cuisine-finding-comfort-in-culinary-roots/,Cultural Roots Through Cuisine: Finding Comfort in Culinary Roots,2024-04-03,Gabriella Thurber,0
51,thepoint,1,https://thepointmagazine.org/4430/uncategorized/zihan-xu-china/,"Zihan Xu, China",2023-12-07,"Zihan Xu, China",0
52,thepoint,1,https://thepointmagazine.org/4423/uncategorized/yaw-bay-myanmar/,"Yaw Bay, Myanmar",2023-12-07,,
53,thepoint,1,https://thepointmagazine.org/4416/uncategorized/perez-balikuddembe-uganda/,"Perez Balikuddembe, Uganda",2023-12-07,,
54,thepoint,1,https://thepointmagazine.org/4409/uncategorized/juan-manuel-nzamio-mba-andeme-equatorial-guinea/,"Juan Manuel Nzamio Mba Andeme, Equatorial Guinea",2023-12-07,Web Editor,1
55,thepoint,1,https://thepointmagazine.org/4401/uncategorized/joshua-janghyeok-kim/,"Joshua (Janghyeok) Kim, South Korea",2023-12-07,,
56,thepoint,1,https://thepointmagazine.org/4394/uncategorized/jesslyn-sudarta-indonesia/,"Jesslyn Sudarta, Indonesia",2023-12-07,,
57,thepoint,1,https://thepointmagazine.org/4387/uncategorized/janna-christian-gspd/,"Janna Christian, GSPD",2023-12-07,,
58,thepoint,1,https://thepointmagazine.org/4376/uncategorized/carolina-mussi-paraguay/,"Carolina Mussi, Paraguay",2023-12-07,,
59,thepoint,1,https://thepointmagazine.org/4356/stories/global/cross-cultural-stories/,Cross Cultural Stories,2023-12-07,,
60,theorion,1,https://theorion.com/100491/features/abandoned-shoes-in-chico-photo-series/,Abandoned shoes in Chico: photo series,2024-05-22,Molly Myers,0
61,theorion,1,https://theorion.com/100413/food-2/the-orion-tries-the-dining-hall/,The Orion tries the dining hall,2024-05-21,,
62,theorion,1,https://theorion.com/100375/features/faculty-students-mental-health-continue-to-suffer/,"Faculty, students’ mental health continue to suffer",2024-05-20,,
63,theorion,1,https://theorion.com/100331/arts/names-horror-films-have-ruined-or-made-cool/,Names horror films have ruined … or made cool,2024-05-19,,
64,theorion,1,https://theorion.com/100370/arts/he-said-she-said-immaculate/,"He said, she said: ‘Immaculate’",2024-05-18,,
65,theorion,1,https://theorion.com/100337/features/meet-the-orions-fall-2024-editorial-board/,Meet The Orion’s fall 2024 editorial board!,2024-05-17,,
66,theorion,1,https://theorion.com/100476/news/chico-state-celebrates-graduate-studies-commencement/,Chico State celebrates Graduate Studies Commencement,2024-05-17,,
67,theorion,1,https://theorion.com/100334/arts/an-alt-girls-origin-story-emo-beginnings/,An alt-girl’s origin story: emo beginnings,2024-05-16,,
68,theorion,1,https://theorion.com/100392/features/congrats-the-orion-graduates/,Congrats to The Orion graduates!,2024-05-16,,
69,theorion,1,https://theorion.com/100384/news/a-final-wrap-up-of-stachura/,A final wrap up of Stachura,2024-05-15,,
70,universitytimes,1,https://csulauniversitytimes.com/encampment-dismantled/,"Police take down pro-Palestinian encampment, Eanes says ‘we will not negotiate’",2024-06-18,,
71,universitytimes,1,https://csulauniversitytimes.com/admin-building-overtaken/,"Encampment must go after Student Services Building vandalized, says Cal State LA president",2024-06-14,Sasha Funes,0
72,universitytimes,1,https://csulauniversitytimes.com/photo-essay-shakespeares-macbeth/,PHOTO ESSAY: Shakespeare’s ‘Macbeth’,2024-05-18,,
73,universitytimes,1,https://csulauniversitytimes.com/psilocybin-mushrooms-regain-popularity-as-researchers-look-for-new-ways-to-use-it/,Psilocybin mushrooms regain popularity as researchers look for new ways to use it,2024-05-17,,
74,universitytimes,1,https://csulauniversitytimes.com/video-arrest-made-in-the-death-of-former-cal-state-la-student/,Arrest made in the death of former Cal State LA student,2024-05-14,,
75,universitytimes,1,https://csulauniversitytimes.com/creating-one-final-masterpiece-from-movie-fanatic-to-special-fx-artist/,"Creating one final masterpiece, from movie fanatic to Special FX artist",2024-05-11,,
76,universitytimes,1,https://csulauniversitytimes.com/from-may-day-to-today-where-the-encampment-is-now/,From May Day to today: Where the encampment is now,2024-05-11,,
77,universitytimes,1,https://csulauniversitytimes.com/gen-z-latinos-fight-an-uphill-battle-to-reach-the-film-industry/,Gen Z Latinos Fight an Uphill Battle to Reach the Film Industry,2024-05-09,Joseph Chavarria,0
78,universitytimes,1,https://csulauniversitytimes.com/car-flips-over-next-to-hellman-bridge-crashing-into-three-cars/,"BREAKING: Car flips over next to Hellman bridge, crashing into three cars",2024-05-02,,
79,universitytimes,1,https://csulauniversitytimes.com/audio-story-cal-state-la-baseball-vs-cal-poly-pomona-apr-19-21-2024/,"AUDIO STORY: Cal State LA baseball VS Cal Poly Pomona. Apr. 19-21, 2024.",2024-05-01,Sasha Funes,0
80,collegiatenewsservice,0,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/,Fountain Valley to Test Out a Four-Day Work Week at City Hall,2024-06-04,,
81,collegiatenewsservice,0,https://voiceofoc.org/2024/05/stanton-city-leaders-dream-of-a-new-downtown/,Stanton City Leaders Dream of a New Downtown,2024-05-30,,
82,collegiatenewsservice,0,https://voiceofoc.org/2024/05/placentia-officials-raise-concerns-about-blank-check-to-construction-consultants/,Placentia Officials Raise Concerns About ‘Blank Check’ to Construction Consultants,2024-05-07,Gwen Buchanan,0
83,collegiatenewsservice,0,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/,Fountain Valley Allows Digital Freeway Advertising; Will Drivers be Distracted?,2024-05-06,Colette Victorino,0
84,collegiatenewsservice,0,https://voiceofoc.org/2024/05/santa-ana-families-celebrate-dia-de-los-ninos-dia-de-los-libros/,"Santa Ana Families Celebrate Día de los Niños, Día de los Libros",2024-05-03,,
85,collegiatenewsservice,0,https://voiceofoc.org/2024/04/will-garden-grove-unified-video-stream-school-board-meetings/,Will Garden Grove Unified Video Stream School Board Meetings?,2024-04-30,,
86,collegiatenewsservice,0,https://voiceofoc.org/2024/04/breas-historic-old-railroad-tracks-expands-west-connecting-to-a-trail-in-north-oc/,"Brea’s Historic Old Railroad Tracks Expands West, Connecting to a Trail in North OC",2024-04-29,,
87,collegiatenewsservice,0,https://voiceofoc.org/2024/04/will-stanton-switch-to-publicly-funded-elections/,Will Stanton Switch to Publicly Funded Elections?,2024-04-25,,
88,collegiatenewsservice,0,https://voiceofoc.org/2024/04/laguna-beach-officials-consider-raising-taxes/,Laguna Beach Officials Consider Raising Taxes,2024-04-23,,
89,collegiatenewsservice,0,https://voiceofoc.org/2024/03/stanton-extends-ban-on-new-smoke-shops-in-crackdown-on-flavored-tobacco/,Stanton Extends Ban on New Smoke Shops in Crackdown on Flavored Tobacco,2024-03-19,,
90,collegiatenewsservice,0,https://voiceofoc.org/2024/02/making-it-easy-to-watch-local-government-from-home/,Making it Easy to Watch Local Government From Home,2024-02-21,,
91,collegiatenewsservice,0,https://voiceofoc.org/2023/12/la-habras-rent-relief-program-for-mobile-home-residents-sees-low-turnout-rate/,La Habra’s Rent Relief Program for Mobile Home Residents Sees Low Turnout Rate,2023-12-08,,
92,collegiatenewsservice,0,https://voiceofoc.org/2023/12/dana-point-delays-handing-out-new-short-term-rental-permits-until-next-year/,Dana Point Delays Handing Out New Short-Term Rental Permits Until Next Year,2023-12-05,,
